title,url,url2
Revolt (2017),/en/subtitles/en-revolt-2017/kyhF/download,/en/subtitles/en-revolt-2017/AKZE/download
Inglourious Basterds (2009),/en/subtitles/en-inglourious-basterds-2009/AkgJ/download,/en/subtitles/en-inglourious-basterds-2009/4zEI/download
Hell or High Water (2016),/en/subtitles/en-hell-or-high-water-2016/9RRC/download,/en/subtitles/en-hell-or-high-water-2016/TrJC/download
Cowboys & Aliens (2011),/en/subtitles/en-cowboys--aliens-2011/8OAU/download,/en/subtitles/en-cowboys--aliens-2011/8OAU/download
Westworld (1973),/en/subtitles/en-westworld-1973/2dor/download,/en/subtitles/en-westworld-1973/2dor/download
Blazing Saddles (1974),/en/subtitles/en-blazing-saddles-1974/rV0v/download,/en/subtitles/en-blazing-saddles-1974/rV0v/download
"Il buono, il brutto, il cattivo. (1966)",/en/subtitles/en-il-buono-il-brutto-il-cattivo-1966/yPwn/download,/en/subtitles/en-il-buono-il-brutto-il-cattivo-1966/yPwn/download
The Magnificent Seven (2016),/en/subtitles/en-the-magnificent-seven-2016/e1FC/download,/en/subtitles/en-the-magnificent-seven-2016/ZVxC/download
The Hateful Eight (2015),/en/subtitles/en-the-hateful-eight-2015/V6k_/download,/en/subtitles/en-the-hateful-eight-2015/V6k_/download
Django Unchained (2012),/en/subtitles/en-django-unchained-2012/sKoh/download,/en/subtitles/en-django-unchained-2012/sKoh/download
"Vita è bella, La (1997)",/en/subtitles/en-vita-e-bella-la-1997/6ooO/download,/en/subtitles/en-vita-e-bella-la-1997/6ooO/download
Back to the Future Part III (1990),/en/subtitles/en-back-to-the-future-part-iii-1990/83wS/download,/en/subtitles/en-back-to-the-future-part-iii-1990/83wS/download
"Mark of Zorro, The (1940)",/en/subtitles/en-mark-of-zorro-the-1940/WMYp/download,/en/subtitles/en-mark-of-zorro-the-1940/WMYp/download
How the West Was Won (1962),/en/subtitles/en-how-the-west-was-won-1962/-h0I/download,/en/subtitles/en-how-the-west-was-won-1962/-h0I/download
Abraham Lincoln: Vampire Hunter (2012),/en/subtitles/en-abraham-lincoln-vampire-hunter-2012/IWce/download,/en/subtitles/en-abraham-lincoln-vampire-hunter-2012/IWce/download
,,
,,
The Outlaw Josey Wales (1976),/en/subtitles/en-the-outlaw-josey-wales-1976/JhkT/download,/en/subtitles/en-the-outlaw-josey-wales-1976/JhkT/download
Legends of the Fall (1994),/en/subtitles/en-legends-of-the-fall-1994/-v4M/download,/en/subtitles/en-legends-of-the-fall-1994/V5gF/download
